HOST, TIME, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 14/01/2019 23:59:25, 31, 52.3, 10.4, 366.8, 186.9, 46.5, 0.8, 0, 192.7, 133.9, 17119.8, 66.7, 5.3, 167.2, 112, 11.1
1, 15/01/2019 00:19:25, 31.9, 63.3, 9.3, 6560.9, 200.1, 47, 0.8, 13.7, 222.8, 162.1, 20572.9, 65.6, 11.7, 219.6, 117.5, 17
1, 15/01/2019 00:40:25, 39.6, 63, 10.9, 2441.6, 199.3, 39.5, 0.9, 18.6, 245.3, 161.2, 13541.4, 115.8, 18.8, 273.1, 113.9, 6.6
1, 15/01/2019 00:59:24, 55.4, 105.4, 14, 4864.2, 218.5, 35.2, 1.4, 14.8, 390.6, 269.9, 20275, 805, 27.2, 428.6, 98, 10.6
1, 15/01/2019 01:19:25, 45.6, 79.9, 11.9, 4127.5, 202.3, 35.5, 0.9, 4.3, 307.3, 204.5, 15042.6, 436.3, 21.6, 284.1, 90.9, 10.8
1, 15/01/2019 01:40:25, 37.9, 57.9, 10.2, 1183.8, 178.7, 35.2, 0.8, 13.2, 189.2, 148.2, 15595, 421.5, 17.8, 226.2, 103.9, 4.2
1, 15/01/2019 01:59:24, 44, 65.1, 11.1, 7726.4, 231.5, 47.1, 0.8, 11.7, 199.6, 166.7, 13291.1, 471.1, 17.6, 236.4, 113.4, 5.3
1, 15/01/2019 02:19:24, 57.4, 78.8, 12.8, 7528.9, 189.8, 35.7, 1.7, 7.6, 381.1, 201.8, 38132.1, 577.8, 19.6, 315.5, 84.7, 4.9
1, 15/01/2019 02:39:24, 75.6, 93.6, 15.2, 5656.9, 149.8, 23.4, 2.6, 10, 343.3, 239.7, 30741.3, 670.3, 22.9, 402.5, 71.6, 5.9
1, 15/01/2019 03:00:25, 61.2, 87.1, 12.1, 4144.7, 214.1, 20.9, 2.3, 15.3, 330.7, 223, 40622.7, 421.7, 19.7, 360.2, 47.6, 7.8
1, 15/01/2019 03:19:24, 43.9, 53, 11.6, 2158.9, 236.3, 33.4, 0.9, 0.4, 214.2, 135.7, 22921.5, 73.1, 13.7, 191.2, 57.9, 6.9
1, 15/01/2019 03:40:24, 29.7, 49, 8.7, 1821.3, 169, 25.4, 0.7, 0.1, 233.3, 125.5, 14032.4, 166.3, 11.9, 194.7, 57.7, 14.5
1, 15/01/2019 03:59:24, 18, 73.9, 5.7, 740.2, 107.2, 20.9, 0.5, 0, 321.4, 189.2, 17119.3, 81, 11.4, 192.9, 48, 40.4
1, 15/01/2019 04:19:24, 43.9, 53.4, 12.4, 455.5, 509, 37.2, 0.9, 0, 201.5, 136.7, 50358.5, 38.1, 6.6, 110.1, 90.2, 12.5
1, 15/01/2019 04:39:23, 44.2, 57.7, 11.4, 252.2, 587.1, 39.4, 0.9, 0, 230.6, 147.6, 49427.3, 32.9, 5.3, 97.2, 72.8, 8.7
1, 15/01/2019 04:59:24, 42, 64.9, 11, 1553.7, 529.3, 31, 0.8, 0.1, 237.5, 166.1, 54411.7, 156.7, 5.9, 122.4, 64.9, 10.6
1, 15/01/2019 05:19:23, 34.5, 55.9, 10.4, 600.1, 225.3, 31.5, 0.8, 0, 242.8, 143.1, 49427.8, 54, 4.3, 88.3, 69.6, 8.5
1, 15/01/2019 05:39:24, 18.9, 49.9, 6.8, 122.4, 103.8, 20.9, 0.6, 0, 325, 127.6, 10796.4, 55.2, 3, 49, 57.6, 6.6
1, 15/01/2019 05:59:24, 39, 63.1, 11.5, 779.1, 230.5, 38.9, 0.9, 0, 228, 161.4, 22506.1, 24, 4.6, 118.4, 82, 9.9
1, 15/01/2019 06:19:23, 40, 87.5, 10.9, 1403.2, 229.3, 38.6, 0.9, 0.3, 364.9, 224, 16260.1, 114.3, 6.4, 157.2, 74.9, 7.1
1, 15/01/2019 06:40:23, 40.9, 74.4, 12.7, 369.7, 269.2, 48.5, 1, 0, 306.3, 190.5, 15044.2, 27.9, 4.2, 86.8, 95.5, 8.5
1, 15/01/2019 07:00:24, 35.5, 72.5, 11, 232.3, 255.8, 47.1, 0.9, 0, 309.7, 185.7, 10830.2, 40, 3.4, 59.4, 108.1, 16.9
1, 15/01/2019 07:19:24, 40.1, 79.4, 13, 142.9, 284.8, 52.2, 1.1, 0, 281.6, 203.4, 10842.4, 17.2, 3, 49.2, 119.9, 12.6
1, 15/01/2019 07:40:22, 41, 77.7, 13, 126, 289.1, 54.7, 1, 0, 270.1, 198.9, 10844, 17.9, 3, 49.2, 137.2, 15.2
1, 15/01/2019 07:59:23, 47.9, 93.2, 14.6, 1771.8, 334.3, 54.4, 1.1, 0.1, 333.7, 238.7, 12151.7, 118, 6.2, 120.8, 126, 14.8
1, 15/01/2019 08:20:23, 47.4, 83.9, 14.9, 15068.5, 328.6, 59.6, 1.2, 0, 292.5, 214.8, 10824.3, 97.9, 4.6, 94.1, 130.1, 14.9
1, 15/01/2019 08:39:23, 52.3, 72.6, 16.9, 3276.4, 341.8, 64.8, 1.3, 0, 293.1, 185.8, 10660.4, 40.9, 2.8, 36, 146.3, 17.1
1, 15/01/2019 09:00:22, 42.1, 79.4, 13.4, 420.6, 307.4, 59, 1.1, 0, 296.6, 203.2, 10672, 32.6, 3.5, 44.7, 124.8, 16.9
1, 15/01/2019 09:19:23, 47.7, 72.8, 15.3, 146.9, 350.3, 67.5, 1.2, 0, 286.7, 186.3, 10742.7, 54, 3.2, 37.4, 144.4, 17.9
1, 15/01/2019 09:39:23, 52, 81.8, 15.8, 1900.1, 355.8, 67.5, 1.2, 0, 288, 209.4, 15270.7, 143.8, 5, 91.8, 144.6, 20.4
1, 15/01/2019 09:59:22, 39.7, 109.3, 12.1, 840.1, 298.3, 54.3, 1, 0, 333.8, 279.9, 17087.7, 51, 6, 113.4, 122.9, 19.7
1, 15/01/2019 10:19:22, 59.3, 84.7, 17.1, 17212.7, 380.2, 68, 1.3, 0.6, 322.6, 216.9, 16068.8, 37.1, 5.2, 91.3, 160.7, 11.2
1, 15/01/2019 10:39:22, 61.5, 78.9, 17.4, 235.4, 420.4, 91.1, 1.4, 0, 283.9, 202, 10687.5, 54.1, 3.7, 50.2, 180.5, 9.1
