HOST, TIME, SNAP_ID, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 17/01/2019 23:59:09, 130499, 43.5, 49.8, 11.4, 792.9, 340.7, 39.4, 1, 0.8, 183.2, 127.5, 37042.1, 488.7, 5.9, 138.3, 71.5, 13.8
1, 18/01/2019 00:19:10, 130500, 39.5, 78.3, 10.7, 5125.1, 227.3, 42.7, 1.4, 11.5, 413.8, 200.4, 41754.8, 215.2, 10.5, 173.4, 87.9, 14.6
1, 18/01/2019 00:40:09, 130501, 62.1, 112.2, 14.2, 10008.9, 232.2, 39.2, 1.8, 26.3, 382.9, 287.3, 33082.2, 289, 23.9, 358.7, 80.6, 7.8
1, 18/01/2019 01:00:09, 130502, 72.9, 106.2, 19, 6937, 246.7, 37.6, 3.4, 9.3, 322, 271.8, 61356.8, 856.3, 26.1, 450.7, 90.6, 15.8
1, 18/01/2019 01:19:09, 130503, 54.1, 74.5, 13.9, 2273.6, 210.9, 26.7, 1.1, 5.4, 276.9, 190.8, 46187, 516.5, 20.9, 345.1, 73.2, 17.2
1, 18/01/2019 01:39:09, 130504, 36.9, 54.4, 10.2, 1419.2, 106.4, 18.1, 0.9, 2.6, 247.6, 139.3, 20044.1, 512.4, 16.7, 237.5, 67.7, 8
1, 18/01/2019 02:00:09, 130505, 33.8, 45.9, 9.9, 7463.4, 166.1, 31.4, 1, 0, 155.7, 117.5, 12392, 619.7, 11.3, 160, 83.2, 9
1, 18/01/2019 02:20:09, 130506, 55.6, 62.7, 13.5, 6541, 198.3, 26.6, 1.3, 1.2, 253.4, 160.6, 50372.4, 804.3, 14, 256.3, 79.4, 6.1
1, 18/01/2019 02:40:08, 130507, 74.8, 95.4, 16.2, 4865.2, 233.4, 21.8, 3.1, 6.4, 290, 244.1, 28481, 929.9, 18.6, 363.5, 96.6, 7.2
1, 18/01/2019 02:59:09, 130508, 73.7, 105.3, 16.3, 3635.5, 182.8, 20, 9.8, 14.8, 350.7, 269.6, 35033.7, 180.1, 19.5, 383.7, 71.6, 16.6
