INSTANCE_NUMBER, SNAP_ID, T_BEG, USR_GROUP, CPU, DBTIME, PGA, OTH_WAIT, PXENQ, PXQTIME, PXQRY, PXREL, REQS, YIELDS, IOWAIT, READ, WRITE
1, 127731, 07/12/2018 00:00:03, ADW_UNLOAD_GROUP, 0.6, 1.3, 303, 0.5, 0, 0, 1, 32, 927, 220, 0.2, 37.7, 192
1, 127732, 07/12/2018 00:20:14, ADW_UNLOAD_GROUP, 0, 0, 1.4, 0, 0, 0, 0, 0, 528, 0, 0, 0, 0
1, 127733, 07/12/2018 00:40:13, ADW_UNLOAD_GROUP, 0, 0.1, 2.7, 0.1, 0, 0, 0, 0, 396, 1, 0, 0, 0
1, 127734, 07/12/2018 01:00:33, ADW_UNLOAD_GROUP, 7, 21, 1599.1, 7.6, 0, 0, 11, 130, 903, 4064, 6.4, 2350.4, 7318
1, 127735, 07/12/2018 01:20:04, ADW_UNLOAD_GROUP, 4.2, 8.4, 1048.8, 1.6, 3, 0.2, 12, 112, 882, 1860, 2.6, 2286.4, 3085.8
1, 127736, 07/12/2018 01:40:11, ADW_UNLOAD_GROUP, 0.7, 4, 394.9, 2.9, 1, 0.4, 6, 40, 466, 170, 0.4, 100.7, 1345.1
1, 127737, 07/12/2018 02:00:07, ADW_UNLOAD_GROUP, 2, 4.9, 486.1, 2.4, 0, 0, 4, 26, 121, 533, 0.5, 302, 1199.3
1, 127738, 07/12/2018 02:20:15, ADW_UNLOAD_GROUP, 9.9, 16.3, 4768.2, 4.6, 0, 0, 34, 320, 1344, 9369, 1.8, 1858.9, 3389.9
1, 127739, 07/12/2018 02:40:33, ADW_UNLOAD_GROUP, 37.9, 44.4, 12159.9, 4.9, 0, 0, 23, 356, 1419, 45936, 1.6, 5278.3, 3773
1, 127740, 07/12/2018 03:00:03, ADW_UNLOAD_GROUP, 19.3, 27.3, 11261.4, 5.7, 3, 0, 62, 713, 1746, 23113, 2.3, 4065.4, 3286.2
1, 127741, 07/12/2018 03:20:09, ADW_UNLOAD_GROUP, 1.9, 5.9, 5801.3, 2.6, 0, 0, 18, 132, 793, 387, 1.4, 514.9, 510.6
1, 127742, 07/12/2018 03:40:10, ADW_UNLOAD_GROUP, 2.4, 4.7, 6754.2, 1.6, 0, 0, 4, 44, 600, 722, 0.7, 155.2, 996.8
1, 127743, 07/12/2018 04:00:02, ADW_UNLOAD_GROUP, 0, 0, 6.3, 0, 0, 0, 2, 16, 816, 0, 0, 1, 0.4
1, 127744, 07/12/2018 04:20:16, ADW_UNLOAD_GROUP, 0, 0.1, 9.7, 0.1, 0, 0, 0, 0, 584, 0, 0, 0, 0
1, 127745, 07/12/2018 04:40:19, ADW_UNLOAD_GROUP, 0, 0, 6.8, 0, 0, 0, 0, 0, 632, 0, 0, 0, 0
1, 127746, 07/12/2018 05:00:17, ADW_UNLOAD_GROUP, 0, 0, 7.3, 0, 0, 0, 0, 0, 595, 0, 0, 0, 0
1, 127747, 07/12/2018 05:20:07, ADW_UNLOAD_GROUP, 0, 0, 0.1, 0, 0, 0, 0, 0, 549, 1, 0, 0, 0
1, 127748, 07/12/2018 05:40:04, ADW_UNLOAD_GROUP, 0, 0, 2.6, 0, 0, 0, 0, 0, 711, 0, 0, 0, 0
1, 127749, 07/12/2018 06:00:27, ADW_UNLOAD_GROUP, 0, 0, 1.5, 0, 0, 0, 0, 0, 643, 0, 0, 0, 0
1, 127750, 07/12/2018 06:20:40, ADW_UNLOAD_GROUP, 0, 0, 0.9, 0, 0, 0, 0, 0, 621, 1, 0, 0, 0
1, 127751, 07/12/2018 06:40:16, ADW_UNLOAD_GROUP, 0, 0, 1.7, 0, 0, 0, 0, 0, 682, 0, 0, 0, 0
1, 127752, 07/12/2018 07:00:33, ADW_UNLOAD_GROUP, 0, 0, 2.6, 0, 0, 0, 0, 0, 590, 0, 0, 0, 0
1, 127753, 07/12/2018 07:20:07, ADW_UNLOAD_GROUP, 0, 0, 4.2, 0, 0, 0, 0, 0, 639, 0, 0, 0, 0
1, 127754, 07/12/2018 07:40:06, ADW_UNLOAD_GROUP, 0, 0.1, 3.8, 0.1, 0, 0, 0, 0, 715, 5, 0, 0.1, 5
1, 127755, 07/12/2018 08:00:08, ADW_UNLOAD_GROUP, 0, 0, 3.4, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0
1, 127756, 07/12/2018 08:20:13, ADW_UNLOAD_GROUP, 0, 0, 1.7, 0, 0, 0, 0, 0, 210, 1, 0, 0, 0
1, 127757, 07/12/2018 08:40:00, ADW_UNLOAD_GROUP, 0, 0.1, 1.2, 0.1, 0, 0, 0, 0, 683, 0, 0, 0, 0
1, 127758, 07/12/2018 09:00:17, ADW_UNLOAD_GROUP, 0, 0, 1.8, 0, 0, 0, 0, 0, 653, 0, 0, 0, 0
1, 127759, 07/12/2018 09:20:21, ADW_UNLOAD_GROUP, 0, 0, 1.7, 0, 0, 0, 0, 0, 571, 0, 0, 0, 0
1, 127760, 07/12/2018 09:40:22, ADW_UNLOAD_GROUP, 0, 0, 1, 0, 0, 0, 0, 0, 625, 0, 0, 0, 0
1, 127761, 07/12/2018 10:00:09, ADW_UNLOAD_GROUP, 13.3, 15.2, 8290.6, 1.8, 0, 0, 3, 47, 635, 9406, 0.1, 2454.6, 47.1
1, 127762, 07/12/2018 10:20:23, ADW_UNLOAD_GROUP, 6, 8.4, 6317.6, 2.2, 0, 0, 1, 32, 482, 3507, 0.2, 4429.1, 574.1
1, 127763, 07/12/2018 10:40:11, ADW_UNLOAD_GROUP, 0.1, 1.4, 1611.2, 1.2, 0, 0, 0, 0, 313, 61, 0.1, 2, 191.1
1, 127764, 07/12/2018 11:00:06, ADW_UNLOAD_GROUP, 0, 0.1, 2.6, 0.1, 0, 0, 0, 0, 381, 0, 0, 0, 0
1, 127765, 07/12/2018 11:20:30, ADW_UNLOAD_GROUP, 0, 0, 0.9, 0, 0, 0, 0, 0, 263, 0, 0, 0, 0
1, 127766, 07/12/2018 11:40:11, ADW_UNLOAD_GROUP, 0, 0, 2.1, 0, 0, 0, 0, 0, 376, 0, 0, 0, 0
1, 127767, 07/12/2018 12:00:15, ADW_UNLOAD_GROUP, 6.4, 25.5, 10145.1, 13.6, 0, 0, 1, 32, 637, 5296, 5.5, 625.8, 16600.3
1, 127768, 07/12/2018 12:20:11, ADW_UNLOAD_GROUP, 5.6, 12.6, 8993.5, 2.4, 0, 0, 3, 94, 479, 3002, 4.6, 262.9, 22500.8
1, 127769, 07/12/2018 12:40:09, ADW_UNLOAD_GROUP, 4.7, 11.7, 8780.4, 2.2, 0, 0, 0, 0, 124, 1876, 4.8, 224.5, 20568.8
1, 127770, 07/12/2018 13:00:14, ADW_UNLOAD_GROUP, 3.1, 9.9, 9529.3, 3.3, 0, 0, 0, 0, 390, 956, 3.5, 135.1, 10186.4
1, 127771, 07/12/2018 13:20:01, ADW_UNLOAD_GROUP, 5, 11.7, 20399.2, 2.6, 1, 0, 0, 0, 466, 2521, 4.1, 266.9, 21625.3
1, 127772, 07/12/2018 13:40:10, ADW_UNLOAD_GROUP, 6.3, 15.2, 20818.2, 3.3, 0, 0, 1, 32, 468, 3993, 5.6, 348, 25653.4
1, 127773, 07/12/2018 14:00:17, ADW_UNLOAD_GROUP, 8.3, 18.7, 16933.1, 3, 0, 0, 0, 0, 600, 6105, 7.4, 422, 27036.8
1, 127774, 07/12/2018 14:20:07, ADW_UNLOAD_GROUP, 5.4, 10.2, 14773.6, 1.7, 0, 0, 1, 32, 609, 2551, 3.1, 310.8, 14314
1, 127775, 07/12/2018 14:40:15, ADW_UNLOAD_GROUP, 2.4, 5.6, 730.8, 1.4, 0, 0, 3, 80, 599, 1040, 1.8, 179.2, 8322.4
1, 127776, 07/12/2018 15:00:27, ADW_UNLOAD_GROUP, 3.6, 8.1, 1155.7, 2.4, 1, 0, 3, 25, 160, 1638, 2.1, 501.5, 9455.1
